CUSTOMER_ORDER_ID,CUSTOMER_ID,ORDER_DATE_TM,PRODUCT_ID,QUANTITY
1,9,"Jan 22, 2022 4:08PM",7,30
2,4,"Sep 25, 2022 8:16PM",7,160
3,4,"Jul 31, 2022 12:32AM",4,100
4,8,"Jul 20, 2022 11:57AM",4,90
5,2,"Apr 26, 2022 12:48AM",10,190
6,5,"Nov 1, 2022 9:29PM",12,140
7,4,"Dec 6, 2022 7:26PM",4,170
8,2,"Jan 7, 2022 3:47AM",2,60
9,7,"Jan 31, 2022 4:19PM",13,140
10,10,"Aug 27, 2022 6:44PM",15,150
11,4,"Mar 5, 2022 3:00AM",14,160
12,6,"Feb 16, 2022 8:12AM",14,110
13,9,"Jan 24, 2022 5:27PM",6,20
14,7,"Apr 4, 2022 4:25PM",7,70
15,10,"Aug 8, 2022 12:26PM",7,60
16,4,"Dec 8, 2022 12:43AM",13,140
17,8,"Apr 4, 2022 10:48AM",2,180
18,4,"Jan 13, 2022 2:16PM",7,110
19,3,"May 30, 2022 4:37PM",9,20
20,8,"May 9, 2022 9:31PM",8,90
21,10,"Oct 9, 2022 6:48AM",5,150
22,4,"Nov 28, 2022 11:53AM",10,150
23,6,"Jul 15, 2022 10:43PM",3,200
24,8,"Nov 8, 2022 10:06AM",11,20
25,4,"May 15, 2022 11:47PM",14,90
26,9,"Nov 18, 2022 6:43PM",2,180
27,6,"Aug 17, 2022 7:57PM",12,150
28,4,"Jun 18, 2022 8:04AM",10,50
29,9,"Dec 28, 2022 11:36PM",3,100
30,9,"Apr 10, 2022 7:50AM",8,170
31,6,"Sep 14, 2022 7:15PM",6,190
32,4,"Jan 26, 2022 3:03AM",5,180
33,6,"Jan 8, 2022 5:53PM",9,190
34,6,"Jun 3, 2022 7:33PM",7,150
35,3,"Sep 23, 2022 10:27AM",15,20
36,8,"Aug 29, 2022 9:11AM",12,100
37,5,"Apr 15, 2022 1:21PM",2,10
38,7,"Apr 12, 2022 1:25PM",8,170
39,8,"Aug 10, 2022 9:34AM",14,160
40,2,"Nov 26, 2022 1:57AM",14,160
41,4,"Feb 9, 2022 11:20AM",8,80
42,4,"Sep 13, 2022 12:07AM",6,150
43,7,"Mar 16, 2022 2:08PM",3,60
44,6,"Dec 4, 2022 9:14AM",7,170
45,8,"Nov 26, 2022 7:38PM",12,90
46,7,"Oct 6, 2022 6:47PM",7,90
47,8,"May 15, 2022 12:15PM",1,90
48,10,"Mar 4, 2022 8:18AM",1,170
49,9,"Feb 20, 2022 5:40PM",11,110
50,4,"Oct 5, 2022 10:37AM",2,120
51,7,"Jul 14, 2022 1:27AM",3,10
52,6,"Jul 23, 2022 8:20AM",4,10
53,8,"Jan 27, 2022 10:22AM",13,150
54,10,"Nov 8, 2022 8:34PM",11,110
55,2,"Jan 30, 2022 1:30AM",5,140
56,4,"Oct 18, 2022 11:58AM",6,140
57,7,"Jan 28, 2022 12:56PM",2,110
58,5,"Jul 21, 2022 9:49AM",15,80
59,6,"Feb 18, 2022 11:36AM",1,30
60,8,"Nov 11, 2022 4:46AM",8,180
61,7,"Jan 25, 2022 4:30AM",10,50
62,3,"Oct 8, 2022 12:02PM",8,170
63,3,"Oct 24, 2022 1:09PM",8,200
64,10,"Nov 25, 2022 1:32AM",13,60
65,7,"Jan 31, 2022 2:29AM",6,70
66,8,"Oct 5, 2022 4:40PM",5,120
67,8,"Sep 5, 2022 8:25PM",4,150
68,8,"Aug 2, 2022 8:37AM",10,140
69,9,"Aug 2, 2022 2:54AM",10,120
70,6,"Jul 17, 2022 2:40AM",6,30
71,10,"Jun 2, 2022 10:40PM",13,190
72,8,"May 18, 2022 9:44PM",4,110
73,6,"Oct 3, 2022 8:57AM",14,160
74,7,"Nov 2, 2022 10:47AM",13,110
75,7,"Dec 30, 2022 8:10PM",13,110
76,10,"May 19, 2022 10:22AM",2,50
77,8,"Mar 24, 2022 6:56PM",13,130
78,5,"Apr 6, 2022 6:39PM",4,50
79,6,"Aug 14, 2022 1:03PM",14,180
80,10,"Nov 24, 2022 11:34AM",9,80
81,5,"Dec 29, 2022 7:42PM",11,190
82,8,"Mar 6, 2022 1:52AM",1,50
83,8,"Nov 21, 2022 9:30AM",6,80
84,9,"Apr 8, 2022 3:13PM",9,190
85,8,"Oct 13, 2022 11:24AM",12,30
86,5,"Aug 20, 2022 3:13PM",5,40
87,10,"Mar 7, 2022 1:00AM",11,130
88,10,"Mar 10, 2022 2:23AM",4,130
89,3,"Dec 26, 2022 8:41AM",1,50
90,7,"Mar 20, 2022 11:40AM",9,180
91,10,"Sep 20, 2022 1:07AM",14,150
92,3,"Mar 5, 2022 7:15PM",6,50
93,2,"May 9, 2022 9:28PM",8,110
94,5,"May 16, 2022 7:28AM",3,30
95,7,"Aug 8, 2022 1:19PM",7,80
96,6,"Oct 27, 2022 2:20PM",14,160
97,5,"Feb 24, 2022 9:59AM",1,150
98,3,"Apr 19, 2022 8:16AM",7,160
99,6,"Apr 14, 2022 3:44AM",3,20
100,8,"Dec 22, 2022 6:55AM",13,30
101,2,"Jul 15, 2022 7:40PM",8,180
102,8,"Jun 26, 2022 4:35PM",6,110
103,9,"Jun 25, 2022 3:47PM",1,30
104,4,"Nov 9, 2022 11:01AM",5,10
105,8,"Jul 25, 2022 11:51AM",15,130
106,6,"Jun 27, 2022 1:53AM",13,120
107,2,"Jan 18, 2022 10:02PM",14,20
108,7,"Oct 30, 2022 2:53PM",11,190
109,6,"Apr 1, 2022 4:36AM",1,140
110,2,"Feb 2, 2022 8:11AM",6,10
111,4,"Feb 24, 2022 11:55PM",6,90
112,6,"Aug 28, 2022 5:03PM",3,70
113,7,"Dec 24, 2022 8:48AM",12,120
114,6,"Jan 29, 2022 8:50AM",3,60
115,3,"Aug 16, 2022 5:30AM",7,40
116,10,"Oct 22, 2022 8:09PM",7,100
117,3,"Sep 25, 2022 9:58PM",4,50
118,9,"Dec 5, 2022 12:58AM",15,50
119,8,"Dec 30, 2022 7:05PM",2,40
120,3,"Apr 13, 2022 10:47PM",6,50
121,7,"May 24, 2022 4:34AM",15,180
122,8,"Jan 8, 2022 2:54PM",9,90
123,5,"Apr 4, 2022 8:00AM",10,90
124,9,"Jul 20, 2022 11:31PM",14,80
125,4,"May 13, 2022 11:32AM",10,150
126,8,"Dec 1, 2022 10:18PM",15,200
127,5,"Jun 13, 2022 2:29PM",3,160
128,5,"Aug 19, 2022 12:39AM",8,90
129,9,"Jul 27, 2022 1:23AM",7,10
130,4,"Sep 13, 2022 1:52AM",7,10
131,4,"Apr 6, 2022 9:15AM",5,30
132,2,"Aug 24, 2022 11:59AM",14,130
133,4,"Sep 8, 2022 11:36AM",12,110
134,8,"Jan 10, 2022 12:40AM",4,10
135,4,"Nov 1, 2022 4:55PM",4,100
136,6,"Sep 19, 2022 10:39AM",2,70
137,8,"Oct 6, 2022 1:56PM",4,110
138,4,"Apr 11, 2022 3:51AM",9,10
139,9,"Dec 3, 2022 9:18PM",9,140
140,2,"Aug 24, 2022 9:28PM",9,190
141,7,"Dec 16, 2022 9:04AM",7,20
142,8,"Jun 5, 2022 3:00AM",9,70
143,9,"May 23, 2022 11:46AM",12,150
144,4,"Jun 11, 2022 10:51AM",10,10
145,8,"Sep 13, 2022 7:19AM",3,120
146,7,"Apr 29, 2022 4:08AM",8,140
147,5,"Sep 28, 2022 11:15AM",12,40
148,5,"Oct 12, 2022 8:43PM",13,100
149,9,"Jun 20, 2022 6:50AM",7,190
150,4,"Oct 30, 2022 9:02PM",2,180
151,10,"Jul 28, 2022 3:55PM",1,50
152,2,"Oct 27, 2022 9:06PM",3,50
153,4,"Oct 29, 2022 3:54AM",7,80
154,8,"Nov 11, 2022 10:52PM",11,10
155,3,"Feb 22, 2022 4:10AM",3,20
156,10,"Jul 15, 2022 4:48AM",6,130
157,4,"Nov 30, 2022 6:19PM",5,40
158,8,"May 28, 2022 6:42AM",6,70
159,7,"May 15, 2022 7:18AM",3,90
160,4,"Dec 3, 2022 5:28AM",9,160
161,7,"Mar 20, 2022 7:17PM",10,40
162,2,"Jan 15, 2022 10:35PM",13,70
163,3,"Nov 22, 2022 2:01PM",10,20
164,9,"Jun 19, 2022 4:52PM",1,20
165,5,"Jul 10, 2022 12:03PM",4,150
166,10,"Sep 18, 2022 8:02PM",14,10
167,9,"Jul 22, 2022 8:49AM",9,150
168,7,"Jun 7, 2022 8:04AM",10,100
169,7,"Jul 4, 2022 10:39PM",8,70
170,4,"Jan 12, 2022 4:38PM",1,40
171,3,"Sep 16, 2022 7:59AM",4,40
172,6,"Oct 21, 2022 5:34AM",4,100
173,7,"Jan 5, 2022 2:22PM",9,60
174,8,"May 15, 2022 10:59AM",12,50
175,5,"Jul 25, 2022 9:25AM",2,100
176,4,"Jul 13, 2022 11:15PM",13,200
177,3,"Sep 14, 2022 6:09PM",11,190
178,8,"Mar 28, 2022 10:40AM",14,20
179,9,"Apr 28, 2022 6:59PM",12,50
180,9,"Jul 31, 2022 2:18PM",15,20
181,4,"Apr 14, 2022 4:33AM",2,150
182,6,"Jul 18, 2022 2:28AM",2,120
183,9,"Jun 28, 2022 10:25PM",11,70
184,10,"Feb 9, 2022 8:36AM",14,200
185,7,"Jan 29, 2022 2:11PM",2,90
186,7,"Nov 1, 2022 8:35AM",12,20
187,5,"Apr 13, 2022 10:14PM",6,70
188,7,"Mar 22, 2022 2:02PM",9,80
189,5,"Aug 9, 2022 5:47PM",5,80
190,9,"Oct 11, 2022 11:14AM",2,120
191,10,"Jan 9, 2022 5:52PM",15,140
192,10,"Sep 2, 2022 9:11AM",4,60
193,4,"Jun 1, 2022 2:30AM",15,120
194,7,"Mar 5, 2022 2:59AM",12,110
195,9,"Dec 26, 2022 9:27AM",8,60
196,2,"Sep 24, 2022 7:54AM",14,200
197,10,"Oct 24, 2022 10:10PM",10,80
198,10,"Sep 29, 2022 10:09PM",7,130
199,7,"Oct 10, 2022 10:11AM",12,10
200,5,"May 1, 2022 2:06PM",2,100
201,7,"Oct 19, 2022 4:10AM",8,140
202,8,"Jun 16, 2022 2:06AM",1,160
203,8,"Mar 7, 2022 2:31AM",8,70
204,3,"Jan 18, 2022 5:53AM",8,170
205,2,"Jul 18, 2022 8:46AM",11,100
206,3,"Apr 12, 2022 5:47PM",7,130
207,8,"Mar 7, 2022 9:36PM",10,70
208,9,"Feb 15, 2022 4:33PM",10,110
209,9,"Aug 6, 2022 8:50AM",12,130
210,6,"Apr 3, 2022 5:46PM",11,140
211,7,"Dec 12, 2022 6:34PM",3,60
212,4,"Dec 8, 2022 6:42PM",3,110
213,7,"Aug 8, 2022 3:15PM",12,40
214,9,"Mar 9, 2022 6:04PM",5,120
215,7,"Mar 14, 2022 2:37PM",2,80
216,8,"May 16, 2022 12:54PM",3,190
217,2,"Jun 29, 2022 6:01PM",15,100
218,7,"Jun 18, 2022 9:33PM",3,140
219,10,"Nov 20, 2022 1:13AM",2,40
220,10,"Sep 30, 2022 7:49AM",15,70
221,7,"Jun 18, 2022 3:11AM",9,10
222,9,"Apr 24, 2022 6:10PM",1,40
223,6,"May 13, 2022 4:14PM",3,40
224,3,"Mar 9, 2022 3:50AM",15,40
225,6,"Jan 1, 2022 3:13AM",1,40
226,10,"Dec 24, 2022 1:39AM",6,100
227,8,"Mar 12, 2022 10:01AM",5,180
228,10,"Jul 21, 2022 2:41PM",14,50
229,8,"Dec 1, 2022 2:53PM",5,190
230,2,"Dec 30, 2022 11:44PM",11,160
231,6,"Jul 24, 2022 8:50AM",9,140
232,7,"Mar 31, 2022 5:38AM",8,40
233,6,"Dec 22, 2022 5:43PM",4,150
234,3,"Dec 18, 2022 3:02PM",11,90
235,7,"May 14, 2022 2:00AM",12,50
236,9,"May 27, 2022 1:28AM",15,130
237,6,"Jan 13, 2022 4:35AM",4,20
238,10,"Oct 24, 2022 1:23AM",2,170
239,5,"Sep 10, 2022 9:51AM",8,110
240,2,"Aug 18, 2022 2:17PM",6,60
241,6,"Oct 21, 2022 1:47PM",1,170
242,4,"Apr 1, 2022 3:23AM",2,110
243,2,"Jun 26, 2022 11:36AM",12,180
244,10,"Oct 23, 2022 2:04PM",2,160
245,6,"Jan 19, 2022 4:28AM",12,160
246,9,"Mar 13, 2022 1:03PM",15,180
247,2,"Jan 5, 2022 4:09PM",10,100
248,6,"Feb 15, 2022 9:25AM",15,50
249,4,"Jul 7, 2022 4:41PM",1,40
250,10,"Aug 22, 2022 9:08AM",5,150
251,8,"Feb 24, 2022 11:51PM",10,90
252,3,"Nov 9, 2022 5:59AM",5,200
253,8,"Sep 18, 2022 8:43AM",5,50
254,10,"May 23, 2022 9:50AM",13,160
255,4,"Feb 14, 2022 6:49PM",7,120
256,4,"Nov 10, 2022 4:44PM",9,200
257,4,"Apr 27, 2022 12:25PM",12,90
258,4,"Apr 7, 2022 4:47AM",1,10
259,6,"Jun 2, 2022 4:32PM",5,50
260,2,"Apr 7, 2022 5:24AM",13,80
261,2,"Sep 13, 2022 12:00AM",12,50
262,4,"Dec 7, 2022 1:40AM",6,200
263,4,"Sep 6, 2022 10:52AM",9,100
264,9,"Jul 9, 2022 5:05PM",8,170
265,10,"Jul 24, 2022 9:04AM",4,80
266,8,"Jan 20, 2022 12:51PM",12,110
267,7,"Jan 26, 2022 7:59AM",9,140
268,10,"Aug 31, 2022 6:14AM",10,130
269,4,"Sep 21, 2022 4:33AM",6,80
270,9,"Oct 18, 2022 1:42PM",10,30
271,8,"Nov 29, 2022 12:17PM",9,40
272,2,"Oct 15, 2022 10:19AM",2,190
273,10,"May 21, 2022 11:44PM",13,150
274,3,"Apr 1, 2022 4:18PM",6,90
275,7,"Jun 22, 2022 3:20AM",13,70
276,9,"Nov 16, 2022 6:02PM",5,120
277,7,"Jan 23, 2022 9:20PM",10,90
278,4,"Feb 10, 2022 2:05AM",5,120
279,2,"Feb 23, 2022 4:01AM",11,10
280,4,"Nov 19, 2022 1:08PM",13,80
281,9,"Mar 25, 2022 3:24AM",15,190
282,3,"Dec 30, 2022 3:45PM",10,30
283,10,"Sep 27, 2022 8:58AM",2,140
284,9,"Jan 27, 2022 9:39PM",5,200
285,7,"Sep 5, 2022 1:11PM",7,200
286,8,"Mar 12, 2022 9:42AM",4,80
287,9,"Jun 25, 2022 2:14AM",10,120
288,8,"Sep 24, 2022 7:50PM",1,160
289,3,"Apr 6, 2022 11:09PM",11,80
290,9,"Jan 2, 2022 7:12AM",12,180
291,7,"Apr 15, 2022 7:52AM",15,200
292,2,"Nov 21, 2022 7:40AM",4,130
293,10,"Nov 1, 2022 1:17PM",8,200
294,2,"Dec 24, 2022 11:05AM",4,200
295,7,"May 11, 2022 10:11PM",9,130
296,3,"Jan 19, 2022 8:44PM",6,150
297,6,"Nov 22, 2022 1:18PM",7,90
298,8,"Nov 21, 2022 4:42PM",13,170
299,4,"Dec 29, 2022 9:28AM",10,80
300,5,"May 20, 2022 10:44PM",14,170
301,3,"Dec 9, 2022 11:57PM",11,100
302,7,"May 7, 2022 1:22AM",15,40
303,3,"Feb 25, 2022 7:57PM",14,60
304,4,"Apr 3, 2022 9:03PM",1,50
305,6,"Apr 28, 2022 2:12PM",5,120
306,7,"Apr 19, 2022 6:45PM",2,110
307,2,"Aug 28, 2022 9:31AM",7,20
308,5,"Sep 18, 2022 7:56PM",8,50
309,6,"Sep 20, 2022 4:09AM",7,200
310,4,"Mar 15, 2022 10:01AM",7,150
311,8,"Mar 11, 2022 10:26PM",13,70
312,9,"Aug 30, 2022 12:29PM",14,60
313,8,"Dec 16, 2022 9:59AM",13,150
314,4,"Dec 15, 2022 7:28PM",11,80
315,6,"Dec 5, 2022 10:02PM",7,180
316,4,"Aug 4, 2022 2:31AM",6,90
317,8,"Jan 8, 2022 7:39AM",10,110
318,2,"Feb 3, 2022 9:09PM",7,130
319,8,"Jun 28, 2022 10:02PM",15,140
320,9,"Jun 23, 2022 7:38AM",7,20
321,6,"Sep 5, 2022 3:23AM",4,10
322,10,"Feb 6, 2022 5:22AM",12,30
323,5,"Mar 20, 2022 3:35PM",4,40
324,3,"Aug 19, 2022 9:19PM",2,10
325,2,"Sep 20, 2022 9:05AM",8,10
326,2,"Jun 3, 2022 6:21PM",2,160
327,9,"May 29, 2022 11:05AM",10,10
328,4,"Jan 13, 2022 12:59AM",10,170
329,2,"Jul 23, 2022 5:48PM",8,100
330,4,"Jun 30, 2022 1:12AM",12,200
331,2,"Feb 6, 2022 8:57AM",9,200
332,8,"Aug 5, 2022 7:36AM",12,140
333,4,"Aug 31, 2022 10:42PM",3,90
334,10,"Feb 7, 2022 9:39AM",3,30
335,7,"Aug 9, 2022 11:36AM",15,70
336,4,"Sep 25, 2022 4:01AM",14,80
337,10,"Jan 27, 2022 1:45PM",10,60
338,10,"Jan 18, 2022 5:45AM",8,120
339,10,"Jan 27, 2022 11:43PM",13,50
340,4,"Jun 10, 2022 6:32AM",14,50
341,3,"Oct 22, 2022 7:12PM",15,80
342,7,"Oct 17, 2022 11:08PM",3,20
343,10,"Jun 5, 2022 4:30AM",7,70
344,10,"Aug 5, 2022 11:36AM",11,110
345,2,"Oct 28, 2022 2:16PM",5,10
346,10,"Jan 13, 2022 2:24PM",10,170
347,10,"Aug 6, 2022 7:51AM",13,140
348,9,"Apr 6, 2022 5:13PM",13,170
