CUSTOMER_ID,ORDER_DATE_TM,PRODUCT_ID,QUANTITY,RUSH_SHIP
9,2022-01-22 16:08:14,7,30,1
4,2022-09-25 20:16:15,7,160,0
4,2022-07-31 00:32:23,4,100,0
8,2022-07-20 11:57:07,4,90,0
2,2022-04-26 00:48:58,10,190,0
5,2022-11-01 21:29:02,12,140,0
4,2022-12-06 19:26:48,4,170,0
2,2022-01-07 03:47:25,2,60,0
7,2022-01-31 16:19:23,13,140,0
10,2022-08-27 18:44:33,15,150,0
4,2022-03-05 03:00:34,14,160,0
6,2022-02-16 08:12:27,14,110,0
9,2022-01-24 17:27:28,6,20,0
7,2022-04-04 16:25:37,7,70,0
10,2022-08-08 12:26:47,7,60,0
4,2022-12-08 00:43:15,13,140,0
8,2022-04-04 10:48:37,2,180,0
4,2022-01-13 14:16:48,7,110,0
3,2022-05-30 16:37:04,9,20,0
8,2022-05-09 21:31:25,8,90,0
10,2022-10-09 06:48:45,5,150,0
4,2022-11-28 11:53:19,10,150,0
6,2022-07-15 22:43:24,3,200,1
8,2022-11-08 10:06:43,11,20,0
4,2022-05-15 23:47:44,14,90,0
9,2022-11-18 18:43:33,2,180,0
6,2022-08-17 19:57:17,12,150,0
4,2022-06-18 08:04:39,10,50,0
9,2022-12-28 23:36:20,3,100,0
9,2022-04-10 07:50:30,8,170,0
6,2022-09-14 19:15:13,6,190,0
4,2022-01-26 03:03:29,5,180,0
6,2022-01-08 17:53:48,9,190,0
6,2022-06-03 19:33:49,7,150,0
3,2022-09-23 10:27:08,15,20,0
8,2022-08-29 09:11:06,12,100,0
5,2022-04-15 13:21:05,2,10,0
7,2022-04-12 13:25:11,8,170,0
8,2022-08-10 09:34:25,14,160,0
2,2022-11-26 01:57:48,14,160,1
4,2022-02-09 11:20:07,8,80,0
4,2022-09-13 00:07:55,6,150,0
7,2022-03-16 14:08:26,3,60,0
6,2022-12-04 09:14:37,7,170,0
8,2022-11-26 19:38:42,12,90,0
7,2022-10-06 18:47:06,7,90,0
8,2022-05-15 12:15:23,1,90,1
10,2022-03-04 08:18:40,1,170,0
9,2022-02-20 17:40:30,11,110,0
4,2022-10-05 10:37:29,2,120,0
7,2022-07-14 01:27:33,3,10,0
6,2022-07-23 08:20:01,4,10,1
8,2022-01-27 10:22:07,13,150,0
10,2022-11-08 20:34:19,11,110,0
2,2022-01-30 01:30:31,5,140,1
4,2022-10-18 11:58:26,6,140,0
7,2022-01-28 12:56:13,2,110,0
5,2022-07-21 09:49:58,15,80,0
6,2022-02-18 11:36:33,1,30,0
8,2022-11-11 04:46:56,8,180,0
7,2022-01-25 04:30:46,10,50,1
3,2022-10-08 12:02:42,8,170,0
3,2022-10-24 13:09:55,8,200,0
10,2022-11-25 01:32:23,13,60,0
7,2022-01-31 02:29:20,6,70,0
8,2022-10-05 16:40:14,5,120,0
8,2022-09-05 20:25:04,4,150,0
8,2022-08-02 08:37:13,10,140,0
9,2022-08-02 02:54:29,10,120,0
6,2022-07-17 02:40:21,6,30,0
10,2022-06-02 22:40:09,13,190,0
8,2022-05-18 21:44:45,4,110,0
6,2022-10-03 08:57:24,14,160,0
7,2022-11-02 10:47:58,13,110,0
7,2022-12-30 20:10:17,13,110,0
10,2022-05-19 10:22:08,2,50,0
8,2022-03-24 18:56:05,13,130,0
5,2022-04-06 18:39:25,4,50,0
6,2022-08-14 13:03:04,14,180,0
10,2022-11-24 11:34:07,9,80,0
5,2022-12-29 19:42:35,11,190,0
8,2022-03-06 01:52:17,1,50,0
8,2022-11-21 09:30:55,6,80,0
9,2022-04-08 15:13:59,9,190,0
8,2022-10-13 11:24:01,12,30,0
5,2022-08-20 15:13:21,5,40,0
10,2022-03-07 01:00:25,11,130,0
