x,y
1,-13.11584314866353
2,25.806547384181382
3,-5.017285368574026
4,20.25641536129587
5,4.075003476718676
6,-3.530260080499154
7,24.04599852248996
8,22.112566394030328
9,5.968591029042248
10,43.392338509178614
11,32.22464253030999
12,14.666142118257454
13,17.966140500940682
14,-2.7547182470554255
15,25.15684021223978
16,20.18287020844841
17,22.281929459154657
18,16.75744706875536
19,54.21957466377834
20,60.56415064880501
21,84.36604947648492
22,51.241132093746906
23,6.3599978686670156
24,55.31153809184332
25,42.77080278125511
26,30.097784267604883
27,55.51552055217165
28,16.49391900453262
29,75.81985197843412
30,47.60612803972276
31,30.380680304741652
32,62.755577589592306
33,85.44671576494157
34,114.06294707873664
35,78.84012803033103
36,8.460788825207729
37,102.01824675165652
38,63.75158085265901
39,76.46355326213174
40,60.43978072530415
41,85.96034015650494
42,91.80058397965851
43,73.12549116004502
44,112.36443502982388
45,81.41210941394417
46,115.99008130030361
47,86.82290061863645
48,103.47190919413906
49,97.82980937985799
50,89.21260882201386
51,87.138012006304
52,120.89162297692786
53,95.74280959716444
54,101.26338611141459
55,125.5052861013825
56,130.2579791004316
57,116.63427959263502
58,164.77012856791723
59,95.410129292081
60,118.61480558728341
61,114.46504736393024
62,84.35287920370443
63,117.78083607119774
64,115.42146440729202
65,98.17537397393264
66,113.85062819611271
67,123.59359882911107
68,125.6882106891719
69,159.19544373961827
70,117.58829542400258
71,142.28293517766048
72,138.69088168644194
73,122.88687672840345
74,118.97486734636378
75,151.29643387447825
76,176.80570631051066
77,136.515531190164
78,93.01547743922993
79,153.4375369244528
80,133.64823674802182
81,133.35848421234888
82,123.37312536743612
83,132.31103812184244
84,155.79190261219844
85,135.8088292092165
86,183.28349359819126
87,109.60802877752499
88,172.03331730856107
89,165.18955236313153
90,146.98859707485025
91,150.77555014117183
92,164.42911698703517
93,201.56572406233803
94,180.17446880487523
95,188.34574920560954
96,175.22250366731947
97,163.22577386248963
98,150.89430600162956
99,174.94579612548694
